n,ms_Isercion_AVL,ms_Isercion_RBT,ms_Isercion_ST,ms_search_AVL,ms_search_RBT,ms_search_ST,ms^2_Isercion_AVL,ms^2_Isercion_RBT,ms^2_Isercion_ST,ms^2_search_AVL,ms^2_search_RBT,ms^2_search_ST

10000,3.4961,1.99999,0.57126,1.54514,2.01962,3.57555,0.00944938,0.0117178,0.000223699,0.00660609,0.00845801,0.0104061
20000,7.90075,5.52659,1.28305,4.00313,5.50463,9.1518,0.190189,0.0555662,0.0134157,0.0778703,0.0489965,0.216371
30000,12.6371,8.92002,1.83827,7.16782,8.64268,14.2418,0.258648,0.102275,0.0175145,0.258271,0.0920763,0.875968
40000,16.8457,11.4571,2.37589,9.86092,11.2806,19.0235,0.629297,0.170868,0.0223767,0.265618,0.140512,0.474446
50000,22.5826,16.5084,3.10831,13.6125,15.7146,25.9875,0.325418,0.058532,0.0131672,1.09902,0.0452762,0.0700626
60000,26.2081,18.9887,3.476,16.2522,17.886,29.7373,0.93838,0.0114908,0.0246121,1.47492,0.0202419,0.0956321
70000,30.5073,24.3602,4.44269,19.0144,23.9356,40.4695,0.967439,2.29045,0.046651,0.92732,6.94985,6.88891
80000,37.9727,29.8916,5.09873,25.8323,33.6608,46.4336,3.33592,2.19603,0.0621327,6.71424,10.9911,1.11209
90000,43.4857,33.1639,5.75208,30.3048,35.4566,56.4557,1.05058,1.00821,0.126663,10.4883,4.03865,6.50028
100000,49.817,38.177,6.30754,36.2134,44.2554,62.6012,1.66365,0.475229,0.116027,5.37579,4.16201,12.369
